Date;Wind speed  (vc avg);Wind  direction  (vc avg);Wind  speed (max);Wind Dir.(Max wind speed);latitude;longitude;station_id
08 May 2019;;;;;-24.1296;15.8947;31201
09 May 2019;;;;;-24.1296;15.8947;31201
10 May 2019;;;;;-24.1296;15.8947;31201
11 May 2019;;;;;-24.1296;15.8947;31201
12 May 2019;;;;;-24.1296;15.8947;31201
13 May 2019;;;;;-24.1296;15.8947;31201
14 May 2019;;;;;-24.1296;15.8947;31201
15 May 2019;;;;;-24.1296;15.8947;31201
16 May 2019;;;;;-24.1296;15.8947;31201
17 May 2019;;;;;-24.1296;15.8947;31201
18 May 2019;;;;;-24.1296;15.8947;31201
19 May 2019;;;;;-24.1296;15.8947;31201
20 May 2019;;;;;-24.1296;15.8947;31201
21 May 2019;;;;;-24.1296;15.8947;31201
22 May 2019;;;;;-24.1296;15.8947;31201
23 May 2019;;;;;-24.1296;15.8947;31201
24 May 2019;;;;;-24.1296;15.8947;31201
25 May 2019;;;;;-24.1296;15.8947;31201
26 May 2019;;;;;-24.1296;15.8947;31201
27 May 2019;;;;;-24.1296;15.8947;31201
28 May 2019;;;;;-24.1296;15.8947;31201
29 May 2019;;;;;-24.1296;15.8947;31201
30 May 2019;;;;;-24.1296;15.8947;31201
31 May 2019;;;;;-24.1296;15.8947;31201
01 Jun 2019;;;;;-24.1296;15.8947;31201
02 Jun 2019;;;;;-24.1296;15.8947;31201
03 Jun 2019;;;;;-24.1296;15.8947;31201
04 Jun 2019;;;;;-24.1296;15.8947;31201
05 Jun 2019;;;;;-24.1296;15.8947;31201
06 Jun 2019;;;;;-24.1296;15.8947;31201
07 Jun 2019;;;;;-24.1296;15.8947;31201
08 Jun 2019;;;;;-24.1296;15.8947;31201
09 Jun 2019;;;;;-24.1296;15.8947;31201
10 Jun 2019;;;;;-24.1296;15.8947;31201
11 Jun 2019;;;;;-24.1296;15.8947;31201
12 Jun 2019;;;;;-24.1296;15.8947;31201
13 Jun 2019;;;;;-24.1296;15.8947;31201
14 Jun 2019;;;;;-24.1296;15.8947;31201
15 Jun 2019;;;;;-24.1296;15.8947;31201
16 Jun 2019;;;;;-24.1296;15.8947;31201
17 Jun 2019;;;;;-24.1296;15.8947;31201
18 Jun 2019;;;;;-24.1296;15.8947;31201
19 Jun 2019;;;;;-24.1296;15.8947;31201
20 Jun 2019;;;;;-24.1296;15.8947;31201
21 Jun 2019;;;;;-24.1296;15.8947;31201
22 Jun 2019;;;;;-24.1296;15.8947;31201
23 Jun 2019;;;;;-24.1296;15.8947;31201
24 Jun 2019;;;;;-24.1296;15.8947;31201
25 Jun 2019;;;;;-24.1296;15.8947;31201
26 Jun 2019;;;;;-24.1296;15.8947;31201
27 Jun 2019;;;;;-24.1296;15.8947;31201
28 Jun 2019;;;;;-24.1296;15.8947;31201
29 Jun 2019;;;;;-24.1296;15.8947;31201
30 Jun 2019;;;;;-24.1296;15.8947;31201
01 Jul 2019;;;;;-24.1296;15.8947;31201
02 Jul 2019;;;;;-24.1296;15.8947;31201
03 Jul 2019;;;;;-24.1296;15.8947;31201
04 Jul 2019;;;;;-24.1296;15.8947;31201
05 Jul 2019;;;;;-24.1296;15.8947;31201
06 Jul 2019;;;;;-24.1296;15.8947;31201
07 Jul 2019;;;;;-24.1296;15.8947;31201
08 Jul 2019;;;;;-24.1296;15.8947;31201
09 Jul 2019;;;;;-24.1296;15.8947;31201
10 Jul 2019;;;;;-24.1296;15.8947;31201
11 Jul 2019;;;;;-24.1296;15.8947;31201
12 Jul 2019;;;;;-24.1296;15.8947;31201
13 Jul 2019;;;;;-24.1296;15.8947;31201
14 Jul 2019;;;;;-24.1296;15.8947;31201
